date_added,appl_id,project_num,activity_code,project_title,org_name,project_start_date,new_project_end_date,old_project_end_date,budget_start,new_budget_end_date,old_budget_end_date,new_award_amount,old_award_amount,award_amount_change
2024-08-12 06:08:53,10944419,1R01HD115881-01,R01,Microbiome mediated effects of gender affirming hormone therapy in mice,EMORY UNIVERSITY,2024-08-06 12:08:00,2025-03-03 12:03:00,2029-05-31 12:05:00,2024-08-06 12:08:00,2025-03-03 12:03:00,2025-05-31 12:05:00,377894,735113,-357219
2024-12-07 04:12:42,11000334,5R01HD111650-02,R01,Androgen effects on the reproductive neuroendocrine axis,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",2023-12-12 12:12:00,2025-03-03 12:03:00,2028-11-30 12:11:00,2024-12-01 12:12:00,2025-03-03 12:03:00,2025-11-30 12:11:00,193890,581671,-387781
2023-07-08 04:07:06,10689869,5R01DK129239-03,R01,Mitochondrial-based Determinants of Sex Differences in Acute Kidney Injury,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2021-09-15 12:09:00,2025-03-03 12:03:00,2025-06-30 12:06:00,2023-07-01 12:07:00,2025-03-03 12:03:00,2025-06-30 12:06:00,221521,222750,-1229
2024-09-07 04:09:48,10910038,5R01AI171984-03,R01,"The roles of genetics, hormones, and gender in sexually dimorphic immune response",VAN ANDEL RESEARCH INSTITUTE,2022-09-01 12:09:00,2025-03-03 12:03:00,2026-08-31 12:08:00,2024-09-01 12:09:00,2025-03-03 12:03:00,2025-08-31 12:08:00,172839,610938,-438099
2023-01-28 04:01:28,10729776,7DP2AI164315-03,DP2,One Ballroom: Understanding Intersectional Stigma to Optimize the HIV Prevention Continuum among Vulnerable Populations in the United States,UNIVERSITY OF CALIFORNIA-IRVINE,2021-09-24 12:09:00,2025-02-28 12:02:00,2026-08-31 12:08:00,2023-01-01 12:01:00,2023-08-31 12:08:00,2023-08-31 12:08:00,236415,420678,-184263
2023-09-02 04:09:38,10675550,5DP2AI164315-04,DP2,One Ballroom: Understanding Intersectional Stigma to Optimize the HIV Prevention Continuum among Vulnerable Populations in the United States,UNIVERSITY OF CALIFORNIA-IRVINE,2021-09-24 12:09:00,2025-02-28 12:02:00,2027-08-31 12:08:00,2023-09-01 12:09:00,2025-02-28 12:02:00,2025-08-31 12:08:00,1,426660,-426659
2023-09-09 04:09:38,10697301,5R21HD107311-02,R21,An intervention to promote healthy relationships among transgender and gender expansive youth,SEATTLE CHILDREN'S HOSPITAL,2022-09-05 12:09:00,2025-02-28 12:02:00,2025-08-31 12:08:00,2023-09-01 12:09:00,2025-02-28 12:02:00,2025-08-31 12:08:00,40091,240544,-200453
2024-08-03 04:08:44,10896209,5R01AI172547-02,R01,Developing Cyclopeptide Nef Inhibitors to Facilitate HIV-1 Eradication,UNIVERSITY OF MASSACHUSETTS DARTMOUTH,2023-08-01 12:08:00,2024-12-31 12:12:00,2027-07-31 12:07:00,2024-08-01 12:08:00,2024-12-31 12:12:00,2025-07-31 12:07:00,45270,660718,-615448
2024-02-24 04:02:36,10772988,5R01CA275993-03,R01,Physician dispensing of oral specialty drugs for advanced prostate cancer and its implications for patients,MASSACHUSETTS GENERAL HOSPITAL,2023-02-01 12:02:00,2024-12-31 12:12:00,2028-01-31 12:01:00,2024-02-01 12:02:00,2024-12-31 12:12:00,2025-01-31 12:01:00,94664,495286,-400622
2024-04-06 04:04:19,10824245,5R01CA198279-07,R01,Shaping DNA Damage Response Networks Via Histone H2a Variants,UNIVERSITY OF TEXAS AT AUSTIN,2016-04-05 12:04:00,2024-12-31 12:12:00,2028-03-31 12:03:00,2024-04-01 12:04:00,2024-12-31 12:12:00,2025-03-31 12:03:00,200326,366851,-166525
2024-07-06 04:07:38,10877176,5R01AI176897-02,R01,Elucidating the Structural Bases of HIV-1-Induced CD4 Degradation,UNIVERSITY OF MASSACHUSETTS DARTMOUTH,2023-07-01 12:07:00,2024-12-31 12:12:00,2028-06-30 12:06:00,2024-07-01 12:07:00,2024-12-31 12:12:00,2025-06-30 12:06:00,1,459032,-459031
2024-07-06 04:07:38,10851965,5R01CA098571-19,R01,Molecular Mechanisms of eIF4E mediated transformation,UNIVERSITY OF MONTREAL,2003-08-01 12:08:00,2024-10-11 12:10:00,2026-06-30 12:06:00,2024-07-01 12:07:00,2024-10-11 12:10:00,2025-06-30 12:06:00,1,276966,-276965
2024-03-02 04:03:26,10788336,5R01CA080728-22,R01,Oncogenic impact of eIF4E-dependent RNA export in cancer,UNIVERSITY OF MONTREAL,1999-04-01 12:04:00,2024-10-11 12:10:00,2028-02-28 12:02:00,2024-03-01 12:03:00,2024-10-11 12:10:00,2025-02-28 12:02:00,176852,245894,-69042
2024-07-06 04:07:38,10874692,5K08CA266937-03,K08,Integrating pain-CBT into an mHealth analgesic support intervention for patients with chronic pain from advanced cancers,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,2022-07-01 12:07:00,2024-10-01 12:10:00,2027-06-30 12:06:00,2024-07-01 12:07:00,2024-10-01 12:10:00,2025-06-30 12:06:00,64001,191878,-127877
2024-07-06 04:07:38,10880375,5R01CA261887-03,R01,Outcomes in AYA survivors of pediatric medulloblastoma.,GEORGIA STATE UNIVERSITY,2022-07-05 12:07:00,2024-09-30 12:09:00,2027-06-30 12:06:00,2024-07-01 12:07:00,2024-09-30 12:09:00,2025-06-30 12:06:00,1,697367,-697366
2024-08-17 04:08:08,10783589,1K01AG084815-01,K01,Brain Connectomics of Cognitive Aging and Vulnerability to Alzheimer's Disease,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",2024-08-15 12:08:00,2024-08-16 12:08:00,2029-06-30 12:06:00,2024-08-15 12:08:00,2024-08-16 12:08:00,2025-06-30 12:06:00,1,131693,-131692
