date_added,appl_id,project_num,activity_code,project_title,org_name,project_start_date,new_project_end_date,old_project_end_date,budget_start,new_budget_end_date,old_budget_end_date,new_award_amount,old_award_amount,award_amount_change,fain
2024-06-22 04:06:21,10873326,5R25GM149980-02,R25,Developing Modules to Address Microaggressions and Discriminatory Behaviors,CHILDREN'S HOSP OF PHILADELPHIA,2023-06-21 12:06:00,2025-03-14 12:03:00,2026-05-31 12:05:00,2024-06-01 12:06:00,2025-03-14 12:03:00,2025-05-31 12:05:00,91048,91048,0,R25GM149980
2024-08-03 04:08:44,10891560,5U19AI067773-20,U19,Biostatistics Core,COLUMBIA UNIVERSITY HEALTH SCIENCES,2005-08-31 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,2024-08-01 12:08:00,2025-07-31 12:07:00,2025-07-31 12:07:00,241362,241362,0,U19AI067773
2024-07-20 04:07:58,10850865,5R01HD104599-05,R01,Obesogenic origins of maternal and child metabolic health involving dolutegravir (ORCHID),COLUMBIA UNIVERSITY HEALTH SCIENCES,2020-09-25 12:09:00,2025-03-13 12:03:00,2025-06-30 12:06:00,2024-07-01 12:07:00,2025-03-13 12:03:00,2025-06-30 12:06:00,2452419,2452419,0,R01HD104599
2024-08-03 04:08:44,10884394,5R13HD110322-03,R13,International Workshops on HIV Pediatrics,COLUMBIA UNIVERSITY HEALTH SCIENCES,2022-08-01 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,2024-08-01 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,74999,74999,0,R13HD110322
2024-08-03 04:08:44,10886003,5K23AI150378-05,K23,Harnessing Bioinformatics for HIV Prevention: Understanding Persistence in Comprehensive HIV Prevention Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,2020-08-01 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,2024-08-01 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,192024,192024,0,K23AI150378
2024-08-03 04:08:44,10891553,5U19AI067773-20,U19,Center for High-Throughput Minimally-Invasive Radiation Biodosimetry,COLUMBIA UNIVERSITY HEALTH SCIENCES,2005-08-31 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,2024-08-01 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,5348648,5348648,0,U19AI067773
2024-08-03 04:08:44,10891554,5U19AI067773-20,U19,Administrative Core,COLUMBIA UNIVERSITY HEALTH SCIENCES,2005-08-31 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,2024-08-01 12:08:00,2025-07-31 12:07:00,2025-07-31 12:07:00,204736,204736,0,U19AI067773
2024-08-03 04:08:44,10891556,5U19AI067773-20,U19,Opportunities Fund Management Core,COLUMBIA UNIVERSITY HEALTH SCIENCES,2005-08-31 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,2024-08-01 12:08:00,2025-07-31 12:07:00,2025-07-31 12:07:00,3173725,3173725,0,U19AI067773
2024-08-03 04:08:44,10891557,5U19AI067773-20,U19,Animal Core,COLUMBIA UNIVERSITY HEALTH SCIENCES,2005-08-31 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,2024-08-01 12:08:00,2025-07-31 12:07:00,2025-07-31 12:07:00,109872,109872,0,U19AI067773
2024-08-03 04:08:44,10891558,5U19AI067773-20,U19,Irradiation & Dosimetry Core,COLUMBIA UNIVERSITY HEALTH SCIENCES,2005-08-31 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,2024-08-01 12:08:00,2025-07-31 12:07:00,2025-07-31 12:07:00,76799,76799,0,U19AI067773
2024-08-03 04:08:44,10891565,5U19AI067773-20,U19,Radiation Biodosimetry using Gene Expression Signatures,COLUMBIA UNIVERSITY HEALTH SCIENCES,2005-08-31 12:08:00,2025-03-13 12:03:00,2025-07-31 12:07:00,2024-08-01 12:08:00,2025-07-31 12:07:00,2025-07-31 12:07:00,424000,424000,0,U19AI067773
