APPLICATION_ID,CORE_PROJECT_NUM,PROJECT_NUM,FY,ORG_NAME,ORG_COUNTRY,FIELD,DATE_OF_CHANGE,OLD_VALUE,NEW_VALUE
9991944,F31NS105387,5F31NS105387-03,2020,UNIVERSITY OF CALIFORNIA LOS ANGELES,UNITED STATES,BUDGET_END,2025-06-01,2021-05-31,2021-05-28
9991944,F31NS105387,5F31NS105387-03,2020,UNIVERSITY OF CALIFORNIA LOS ANGELES,UNITED STATES,PROJECT_END,2025-06-01,2021-05-31,2021-05-28
10359932,R15DA055202,1R15DA055202-01,2022,WESTERN UNIVERSITY OF HEALTH SCIENCES,UNITED STATES,BUDGET_END,2025-06-01,2025-05-31,2026-05-31
10359932,R15DA055202,1R15DA055202-01,2022,WESTERN UNIVERSITY OF HEALTH SCIENCES,UNITED STATES,PROJECT_END,2025-06-01,2025-05-31,2026-05-31
10392051,R21AG076202,1R21AG076202-01,2022,INDIANA UNIVERSITY INDIANAPOLIS,UNITED STATES,BUDGET_END,2025-06-01,2025-01-31,2026-01-31
10392051,R21AG076202,1R21AG076202-01,2022,INDIANA UNIVERSITY INDIANAPOLIS,UNITED STATES,PROJECT_END,2025-06-01,2025-01-31,2026-01-31
10398882,R01AG062488,5R01AG062488-04,2022,UNIV OF NORTH CAROLINA CHAPEL HILL,UNITED STATES,BUDGET_END,2025-06-01,2025-04-30,2026-04-30
10398882,R01AG062488,5R01AG062488-04,2022,UNIV OF NORTH CAROLINA CHAPEL HILL,UNITED STATES,PROJECT_END,2025-06-01,2025-04-30,2026-04-30
10400017,R01DC016295,5R01DC016295-05,2022,UNIVERSITY OF MARYLAND BALTIMORE,UNITED STATES,BUDGET_END,2025-06-01,2025-04-30,2026-04-30
10400017,R01DC016295,5R01DC016295-05,2022,UNIVERSITY OF MARYLAND BALTIMORE,UNITED STATES,PROJECT_END,2025-06-01,2025-04-30,2026-04-30
10408129,R01NS105875,5R01NS105875-05,2022,MASSACHUSETTS GENERAL HOSPITAL,UNITED STATES,BUDGET_END,2025-06-01,2025-05-31,2025-12-31
10408129,R01NS105875,5R01NS105875-05,2022,MASSACHUSETTS GENERAL HOSPITAL,UNITED STATES,PROJECT_END,2025-06-01,2025-05-31,2025-12-31
10413650,RF1MH126883,1RF1MH126883-01A1,2022,BAYLOR COLLEGE OF MEDICINE,UNITED STATES,BUDGET_END,2025-06-01,2025-04-30,2024-03-31
10413650,RF1MH126883,1RF1MH126883-01A1,2022,BAYLOR COLLEGE OF MEDICINE,UNITED STATES,PROJECT_END,2025-06-01,2025-04-30,2024-03-31
10417230,R44AG059310,5R44AG059310-05,2023,CYTEX THERAPEUTICS INC.,UNITED STATES,BUDGET_END,2025-06-01,2025-05-31,2026-05-31
10417230,R44AG059310,5R44AG059310-05,2023,CYTEX THERAPEUTICS INC.,UNITED STATES,PROJECT_END,2025-06-01,2025-05-31,2026-05-31
10438436,R15GM146208,1R15GM146208-01,2022,UNIVERSITY OF RICHMOND,UNITED STATES,BUDGET_END,2025-06-01,2025-03-31,2026-03-31
10438436,R15GM146208,1R15GM146208-01,2022,UNIVERSITY OF RICHMOND,UNITED STATES,PROJECT_END,2025-06-01,2025-03-31,2026-03-31
10438971,R15GM128050,2R15GM128050-02,2022,NORTHERN KENTUCKY UNIVERSITY,UNITED STATES,BUDGET_END,2025-06-01,2025-04-30,2026-04-30
10438971,R15GM128050,2R15GM128050-02,2022,NORTHERN KENTUCKY UNIVERSITY,UNITED STATES,PROJECT_END,2025-06-01,2025-04-30,2026-04-30
10439062,R15GM146233,1R15GM146233-01,2022,BAYLOR UNIVERSITY,UNITED STATES,BUDGET_END,2025-06-01,2025-05-31,2026-05-31
10439062,R15GM146233,1R15GM146233-01,2022,BAYLOR UNIVERSITY,UNITED STATES,PROJECT_END,2025-06-01,2025-05-31,2026-05-31
10439082,R15AT008742,2R15AT008742-04,2022,TRINITY COLLEGE,UNITED STATES,BUDGET_END,2025-06-01,2025-04-30,2026-04-30
10439082,R15AT008742,2R15AT008742-04,2022,TRINITY COLLEGE,UNITED STATES,PROJECT_END,2025-06-01,2025-04-30,2026-04-30
10440531,T32DE023526,5T32DE023526-10,2022,STATE UNIVERSITY OF NEW YORK AT BUFFALO,UNITED STATES,PROJECT_END,2025-06-01,2025-06-30,2026-06-30
10509196,RF1MH130553,1RF1MH130553-01,2022,UNIVERSITY OF PENNSYLVANIA,UNITED STATES,BUDGET_END,2025-06-01,2025-07-31,2026-07-31
10509196,RF1MH130553,1RF1MH130553-01,2022,UNIVERSITY OF PENNSYLVANIA,UNITED STATES,PROJECT_END,2025-06-01,2025-07-31,2026-07-31
10553158,R01NR017939,5R01NR017939-05,2023,EMORY UNIVERSITY,UNITED STATES,BUDGET_END,2025-06-01,2025-01-31,2025-07-31
10553158,R01NR017939,5R01NR017939-05,2023,EMORY UNIVERSITY,UNITED STATES,PROJECT_END,2025-06-01,2025-01-31,2025-07-31
10555336,R25MH129792,5R25MH129792-02,2023,TEXAS A&M UNIVERSITY,UNITED STATES,PROJECT_END,2025-06-01,2027-11-30,2024-11-30
10560600,R21CA256136,5R21CA256136-02,2023,UNIVERSITY OF TX MD ANDERSON CAN CTR,UNITED STATES,BUDGET_END,2025-06-01,2025-01-31,2025-07-31
10560600,R21CA256136,5R21CA256136-02,2023,UNIVERSITY OF TX MD ANDERSON CAN CTR,UNITED STATES,PROJECT_END,2025-06-01,2025-01-31,2025-07-31
10571860,R44HD105552,5R44HD105552-03,2023,"ACTUATED MEDICAL, INC.",UNITED STATES,BUDGET_END,2025-06-01,2025-04-30,2026-04-30
10571860,R44HD105552,5R44HD105552-03,2023,"ACTUATED MEDICAL, INC.",UNITED STATES,PROJECT_END,2025-06-01,2025-04-30,2026-04-30
10590370,R21ES034143,1R21ES034143-01A1,2023,UNIVERSITY OF MICHIGAN AT ANN ARBOR,UNITED STATES,BUDGET_END,2025-06-01,2025-06-30,2026-06-30
10590370,R21ES034143,1R21ES034143-01A1,2023,UNIVERSITY OF MICHIGAN AT ANN ARBOR,UNITED STATES,PROJECT_END,2025-06-01,2025-06-30,2026-06-30
10606518,SC1GM136630,5SC1GM136630-04,2023,UNIVERSITY OF TEXAS EL PASO,UNITED STATES,BUDGET_END,2025-06-01,2025-04-30,2026-03-31
10606518,SC1GM136630,5SC1GM136630-04,2023,UNIVERSITY OF TEXAS EL PASO,UNITED STATES,PROJECT_END,2025-06-01,2025-04-30,2026-03-31
10612108,R44GM137671,5R44GM137671-03,2023,"LIGO ANALYTICS, INC.",UNITED STATES,BUDGET_END,2025-06-01,2025-04-30,2026-04-30
10612108,R44GM137671,5R44GM137671-03,2023,"LIGO ANALYTICS, INC.",UNITED STATES,PROJECT_END,2025-06-01,2025-04-30,2026-04-30
10614288,R01AG062488,3R01AG062488-04S1,2022,UNIV OF NORTH CAROLINA CHAPEL HILL,UNITED STATES,BUDGET_END,2025-06-01,2025-04-30,2026-04-30
10614288,R01AG062488,3R01AG062488-04S1,2022,UNIV OF NORTH CAROLINA CHAPEL HILL,UNITED STATES,PROJECT_END,2025-06-01,2025-04-30,2026-04-30
10615068,R01GM111510,5R01GM111510-08,2023,NORTHERN ARIZONA UNIVERSITY,UNITED STATES,BUDGET_END,2025-06-01,2025-04-30,2026-04-30
10615068,R01GM111510,5R01GM111510-08,2023,NORTHERN ARIZONA UNIVERSITY,UNITED STATES,PROJECT_END,2025-06-01,2025-04-30,2026-04-30
10619211,K00AG089852,8K00AG089852-03,2024,HARVARD MEDICAL SCHOOL,UNITED STATES,PROJECT_END,2025-06-01,2028-03-31,2025-03-31
10622570,R01GM138685,5R01GM138685-04,2023,FLORIDA STATE UNIVERSITY,UNITED STATES,BUDGET_END,2025-06-01,2025-05-31,2026-05-31
10622570,R01GM138685,5R01GM138685-04,2023,FLORIDA STATE UNIVERSITY,UNITED STATES,PROJECT_END,2025-06-01,2025-05-31,2026-05-31
10630143,R01HD097597,5R01HD097597-05,2023,UNIVERSITY OF CINCINNATI,UNITED STATES,BUDGET_END,2025-06-01,2025-05-31,2026-05-31
10630143,R01HD097597,5R01HD097597-05,2023,UNIVERSITY OF CINCINNATI,UNITED STATES,PROJECT_END,2025-06-01,2025-05-31,2026-05-31
10630924,R01ES029999,5R01ES029999-05,2023,JOHNS HOPKINS UNIVERSITY,UNITED STATES,BUDGET_END,2025-06-01,2025-05-31,2026-05-31
10630924,R01ES029999,5R01ES029999-05,2023,JOHNS HOPKINS UNIVERSITY,UNITED STATES,PROJECT_END,2025-06-01,2025-05-31,2026-05-31
10632096,R21AI164025,5R21AI164025-02,2023,UNIVERSITY OF MICHIGAN AT ANN ARBOR,UNITED STATES,BUDGET_END,2025-06-01,2025-05-31,2026-05-31
10632096,R21AI164025,5R21AI164025-02,2023,UNIVERSITY OF MICHIGAN AT ANN ARBOR,UNITED STATES,PROJECT_END,2025-06-01,2025-05-31,2026-05-31
10640165,R21AI171940,5R21AI171940-02,2023,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,UNITED STATES,BUDGET_END,2025-06-01,2025-05-31,2026-05-31
10640165,R21AI171940,5R21AI171940-02,2023,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,UNITED STATES,PROJECT_END,2025-06-01,2025-05-31,2026-05-31
10642893,R01HL126845,5R01HL126845-09,2023,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,UNITED STATES,BUDGET_END,2025-06-01,2025-06-30,2026-06-30
10642893,R01HL126845,5R01HL126845-09,2023,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,UNITED STATES,PROJECT_END,2025-06-01,2025-06-30,2026-06-30
10647810,T32EB025823,5T32EB025823-05,2023,BRIGHAM AND WOMEN'S HOSPITAL,UNITED STATES,BUDGET_END,2025-06-01,2025-04-30,2026-04-30
10647810,T32EB025823,5T32EB025823-05,2023,BRIGHAM AND WOMEN'S HOSPITAL,UNITED STATES,PROJECT_END,2025-06-01,2025-04-30,2026-04-30
