APPLICATION_ID,CORE_PROJECT_NUM,PROJECT_NUM,FY,ORG_NAME,ORG_COUNTRY,FIELD,DATE_OF_CHANGE,OLD_VALUE,NEW_VALUE
10003004,DP2NS122037,1DP2NS122037-01,2020,UNIVERSITY OF CALIFORNIA LOS ANGELES,UNITED STATES,BUDGET_END,2025-05-04,2025-03-31,2025-06-30
10003004,DP2NS122037,1DP2NS122037-01,2020,UNIVERSITY OF CALIFORNIA LOS ANGELES,UNITED STATES,PROJECT_END,2025-05-04,2025-03-31,2025-06-30
10140165,R43CK000621,1R43CK000621-01,2020,"IASIS MOLECULAR SCIENCES, INC",UNITED STATES,BUDGET_END,2025-05-04,2022-08-31,2025-09-30
10140165,R43CK000621,1R43CK000621-01,2020,"IASIS MOLECULAR SCIENCES, INC",UNITED STATES,BUDGET_START,2025-05-04,2021-09-01,2024-09-30
10140165,R43CK000621,1R43CK000621-01,2020,"IASIS MOLECULAR SCIENCES, INC",UNITED STATES,PROJECT_END,2025-05-04,2022-08-31,2026-09-30
10140165,R43CK000621,1R43CK000621-01,2020,"IASIS MOLECULAR SCIENCES, INC",UNITED STATES,PROJECT_START,2025-05-04,2021-09-01,2024-09-30
10360368,R15CA227740,2R15CA227740-02,2022,UNIVERSITY OF ALASKA ANCHORAGE,UNITED STATES,BUDGET_END,2025-05-04,2025-04-30,2026-04-30
10360368,R15CA227740,2R15CA227740-02,2022,UNIVERSITY OF ALASKA ANCHORAGE,UNITED STATES,PROJECT_END,2025-05-04,2025-04-30,2026-04-30
10392386,R01HL144714,5R01HL144714-04,2022,GEORGIA INSTITUTE OF TECHNOLOGY,UNITED STATES,BUDGET_END,2025-05-04,2025-03-31,2026-03-31
10392386,R01HL144714,5R01HL144714-04,2022,GEORGIA INSTITUTE OF TECHNOLOGY,UNITED STATES,PROJECT_END,2025-05-04,2025-03-31,2026-03-31
10394383,R21DA053694,5R21DA053694-02,2022,RESEARCH TRIANGLE INSTITUTE,UNITED STATES,BUDGET_END,2025-05-04,2025-04-30,2025-08-31
10394383,R21DA053694,5R21DA053694-02,2022,RESEARCH TRIANGLE INSTITUTE,UNITED STATES,PROJECT_END,2025-05-04,2025-04-30,2025-08-31
10397679,R21DA053359,5R21DA053359-02,2022,"UNIV OF MARYLAND, COLLEGE PARK",UNITED STATES,BUDGET_END,2025-05-04,2025-04-30,2026-04-30
10397679,R21DA053359,5R21DA053359-02,2022,"UNIV OF MARYLAND, COLLEGE PARK",UNITED STATES,PROJECT_END,2025-05-04,2025-04-30,2026-04-30
10401874,R01HD093627,5R01HD093627-06,2023,"PENNSYLVANIA STATE UNIVERSITY, THE",UNITED STATES,BUDGET_END,2025-05-04,2025-05-31,2026-05-31
10401874,R01HD093627,5R01HD093627-06,2023,"PENNSYLVANIA STATE UNIVERSITY, THE",UNITED STATES,PROJECT_END,2025-05-04,2025-05-31,2026-05-31
10405101,U01DA051079,5U01DA051079-03,2022,UNIVERSITY OF KENTUCKY,UNITED STATES,BUDGET_END,2025-05-04,2025-04-30,2026-04-30
10405101,U01DA051079,5U01DA051079-03,2022,UNIVERSITY OF KENTUCKY,UNITED STATES,PROJECT_END,2025-05-04,2025-04-30,2026-04-30
10405570,R01NS102343,5R01NS102343-05,2022,UNIVERSITY OF ROCHESTER,UNITED STATES,BUDGET_END,2025-05-04,2025-05-31,2026-05-31
10405570,R01NS102343,5R01NS102343-05,2022,UNIVERSITY OF ROCHESTER,UNITED STATES,PROJECT_END,2025-05-04,2025-05-31,2026-05-31
10408165,R01AG068324,5R01AG068324-03,2022,MEDICAL UNIVERSITY OF SOUTH CAROLINA,UNITED STATES,BUDGET_END,2025-05-04,2025-04-30,2026-04-30
10408165,R01AG068324,5R01AG068324-03,2022,MEDICAL UNIVERSITY OF SOUTH CAROLINA,UNITED STATES,PROJECT_END,2025-05-04,2025-04-30,2026-04-30
10410405,R01HD041455,5R01HD041455-14,2023,"UNIV OF MARYLAND, COLLEGE PARK",UNITED STATES,BUDGET_END,2025-05-04,2025-05-31,2026-05-31
10410405,R01HD041455,5R01HD041455-14,2023,"UNIV OF MARYLAND, COLLEGE PARK",UNITED STATES,PROJECT_END,2025-05-04,2025-05-31,2026-05-31
10415154,R01DA045492,5R01DA045492-05,2023,MIRIAM HOSPITAL,UNITED STATES,BUDGET_END,2025-05-04,2025-05-31,2026-05-31
10415154,R01DA045492,5R01DA045492-05,2023,MIRIAM HOSPITAL,UNITED STATES,PROJECT_END,2025-05-04,2025-05-31,2026-05-31
10436439,R15AG074050,1R15AG074050-01A1,2022,BOWLING GREEN STATE UNIVERSITY,UNITED STATES,BUDGET_END,2025-05-04,2025-05-31,2026-05-31
10436439,R15AG074050,1R15AG074050-01A1,2022,BOWLING GREEN STATE UNIVERSITY,UNITED STATES,PROJECT_END,2025-05-04,2025-05-31,2026-05-31
10437220,R15HD106177,1R15HD106177-01A1,2022,BAYLOR UNIVERSITY,UNITED STATES,BUDGET_END,2025-05-04,2025-05-31,2026-05-31
10437220,R15HD106177,1R15HD106177-01A1,2022,BAYLOR UNIVERSITY,UNITED STATES,PROJECT_END,2025-05-04,2025-05-31,2026-05-31
10439010,R15ES034169,1R15ES034169-01,2022,COLLEGE OF CHARLESTON,UNITED STATES,BUDGET_END,2025-05-04,2025-06-15,2025-12-15
10439010,R15ES034169,1R15ES034169-01,2022,COLLEGE OF CHARLESTON,UNITED STATES,PROJECT_END,2025-05-04,2025-06-15,2025-12-15
