APPLICATION_ID,CORE_PROJECT_NUM,PROJECT_NUM,FY,ORG_NAME,ORG_COUNTRY,FIELD,DATE_OF_CHANGE,OLD_VALUE,NEW_VALUE
10140165,R43CK000621,1R43CK000621-01,2020,"IASIS MOLECULAR SCIENCES, INC",UNITED STATES,BUDGET_END,2025-05-11,2025-09-30,2022-08-31
10140165,R43CK000621,1R43CK000621-01,2020,"IASIS MOLECULAR SCIENCES, INC",UNITED STATES,BUDGET_START,2025-05-11,2024-09-30,2021-09-01
10140165,R43CK000621,1R43CK000621-01,2020,"IASIS MOLECULAR SCIENCES, INC",UNITED STATES,PROJECT_END,2025-05-11,2026-09-30,2022-08-31
10140165,R43CK000621,1R43CK000621-01,2020,"IASIS MOLECULAR SCIENCES, INC",UNITED STATES,PROJECT_START,2025-05-11,2024-09-30,2021-09-01
10412082,R01AG066153,5R01AG066153-04,2023,JOHNS HOPKINS UNIVERSITY,UNITED STATES,BUDGET_END,2025-05-11,2025-05-31,2026-05-31
10412082,R01AG066153,5R01AG066153-04,2023,JOHNS HOPKINS UNIVERSITY,UNITED STATES,PROJECT_END,2025-05-11,2025-05-31,2026-05-31
10598060,R01DK128085,7R01DK128085-03,2023,MEDICAL UNIVERSITY OF SOUTH CAROLINA,UNITED STATES,BUDGET_END,2025-05-11,2025-03-31,2026-03-31
10598060,R01DK128085,7R01DK128085-03,2023,MEDICAL UNIVERSITY OF SOUTH CAROLINA,UNITED STATES,PROJECT_END,2025-05-11,2025-03-31,2026-03-31
10615950,R01EB029431,7R01EB029431-02,2021,DUKE UNIVERSITY,UNITED STATES,BUDGET_END,2025-05-11,2025-05-31,2026-01-31
10615950,R01EB029431,7R01EB029431-02,2021,DUKE UNIVERSITY,UNITED STATES,PROJECT_END,2025-05-11,2025-05-31,2026-01-31
10650369,R35GM133674,5R35GM133674-05,2023,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,UNITED STATES,BUDGET_END,2025-05-11,2025-06-30,2025-05-08
10650369,R35GM133674,5R35GM133674-05,2023,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,UNITED STATES,PROJECT_END,2025-05-11,2025-06-30,2025-05-08
10668344,R01CA240093,5R01CA240093-05,2023,VANDERBILT UNIVERSITY MEDICAL CENTER,UNITED STATES,BUDGET_END,2025-05-11,2025-07-31,2026-07-31
10668344,R01CA240093,5R01CA240093-05,2023,VANDERBILT UNIVERSITY MEDICAL CENTER,UNITED STATES,PROJECT_END,2025-05-11,2025-07-31,2026-07-31
10692717,R01HL128239,5R01HL128239-10,2023,FRED HUTCHINSON CANCER CENTER,UNITED STATES,BUDGET_END,2025-05-11,2025-07-31,2025-04-30
10692717,R01HL128239,5R01HL128239-10,2023,FRED HUTCHINSON CANCER CENTER,UNITED STATES,PROJECT_END,2025-05-11,2025-07-31,2025-04-30
10740591,R34AA030662,1R34AA030662-01A1,2023,UNIVERSITY OF COLORADO,UNITED STATES,BUDGET_END,2025-05-11,2025-03-21,2026-08-31
10740591,R34AA030662,1R34AA030662-01A1,2023,UNIVERSITY OF COLORADO,UNITED STATES,PROJECT_END,2025-05-11,2025-03-21,2026-08-31
10756244,R01DK121496,7R01DK121496-04,2023,UNIVERSITY OF COLORADO DENVER,UNITED STATES,BUDGET_END,2025-05-11,2024-12-31,2025-12-31
10756244,R01DK121496,7R01DK121496-04,2023,UNIVERSITY OF COLORADO DENVER,UNITED STATES,PROJECT_END,2025-05-11,2024-12-31,2025-12-31
10783603,K01DK138233,1K01DK138233-01,2024,UNIVERSITY OF GEORGIA,UNITED STATES,BUDGET_END,2025-05-11,2025-04-30,2024-05-02
10783603,K01DK138233,1K01DK138233-01,2024,UNIVERSITY OF GEORGIA,UNITED STATES,PROJECT_END,2025-05-11,2028-04-30,2024-05-02
10783813,R01MD016068,5R01MD016068-03,2024,BETH ISRAEL DEACONESS MEDICAL CENTER,UNITED STATES,BUDGET_END,2025-05-11,2025-05-31,2025-02-28
