date_added,appl_id,project_num,activity_code,project_title,org_name,project_start_date,new_project_end_date,old_project_end_date,budget_start,new_budget_end_date,old_budget_end_date,new_award_amount,old_award_amount,award_amount_change
2024-09-14 04:09:49,10923493,1R34MH134603-01A1,R34,"Feasibility, acceptability, and preliminary efficacy of an adapted group-based and online HIV prevention intervention for immigrant sexual minority men in the US",UNIVERSITY OF ILLINOIS AT CHICAGO,2024-09-11 12:09:00,2025-03-21 12:03:00,2027-09-10 12:09:00,2024-09-11 12:09:00,2025-03-21 12:03:00,2027-09-10 12:09:00,270250,759489,-489239
2024-07-06 04:07:38,10921786,1R21MH136855-01,R21,"Over-the-Counter PrEP: Acceptability, Feasibility, and Potential Impact of Access without a Prescription (OFFSCRIPT)","HARVARD PILGRIM HEALTH CARE, INC.",2024-07-01 12:07:00,2025-03-21 12:03:00,2026-06-30 12:06:00,2024-07-01 12:07:00,2025-03-21 12:03:00,2026-06-30 12:06:00,277552,489120,-211568
2024-09-07 04:09:48,10991124,1R34MH137753-01,R34,Developing and pilot testing an eHealth decision support tool for young trans women to improve informed decision 	making about PrEP,TEMPLE UNIV OF THE COMMONWEALTH,2024-09-01 12:09:00,2025-03-21 12:03:00,2027-08-31 12:08:00,2024-09-01 12:09:00,2025-03-21 12:03:00,2027-08-31 12:08:00,264871,766765,-501894
2024-07-20 04:07:58,10985454,1R21MH135130-01A1,R21,Cultural Consensus Modeling to Identify Culturally Relevant Risk and Protective Factors for Suicide among Sexual Minority Youth,LOUISIANA STATE UNIV A&M COL BATON ROUGE,2024-07-20 12:07:00,2025-03-20 12:03:00,2026-07-19 12:07:00,2024-07-20 12:07:00,2025-03-20 12:03:00,2026-07-19 12:07:00,233101,417730,-184629
2024-07-06 04:07:38,10881183,1R01EY035258-01A1,R01,Optimizing lipid nanoparticles for retinal gene editing in the NHP,OREGON HEALTH & SCIENCE UNIVERSITY,2024-07-01 12:07:00,2024-12-31 12:12:00,2029-04-30 12:04:00,2024-07-01 12:07:00,2024-12-31 12:12:00,2025-04-30 12:04:00,100786,697745,-596959
2024-05-18 04:05:51,10834884,5R01DK132404-03,R01,Molecular responses and physiological implications to systemic stimuli in adipocyte progenitor cells,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2022-05-01 12:05:00,2024-12-31 12:12:00,2025-04-30 12:04:00,2024-05-01 12:05:00,2024-12-31 12:12:00,2025-04-30 12:04:00,362056,510100,-148044
2024-06-01 04:06:40,10814240,5R01HD105033-04,R01,Regulation of Appendage Regeneration in Zebrafish,DUKE UNIVERSITY,2021-06-15 12:06:00,2024-12-31 12:12:00,2026-05-31 12:05:00,2024-06-01 12:06:00,2024-12-31 12:12:00,2025-05-31 12:05:00,287432,378239,-90807
2024-12-07 04:12:42,11134761,4R00NS133611-03,R00,Inflammation and plaque formation downstream of disrupted autophagy in Alzheimer's disease,UNIVERSITY OF PENNSYLVANIA,2024-12-01 12:12:00,2024-12-02 12:12:00,2027-11-30 12:11:00,2024-12-01 12:12:00,2024-12-02 12:12:00,2025-11-30 12:11:00,1,246247,-246246
2024-08-03 04:08:44,11158510,3R01DC020701-02S1,R01,Determining the ototoxic potential of COVID-19 therapeutics using machine learning and in vivo approaches,WASHINGTON STATE UNIVERSITY,2023-06-07 12:06:00,2024-11-30 12:11:00,2028-05-31 12:05:00,2024-06-01 12:06:00,2024-11-30 12:11:00,2025-05-31 12:05:00,27156,53296,-26140
2024-06-01 04:06:40,10861891,5R01DC020701-02,R01,Determining the ototoxic potential of COVID-19 therapeutics using machine learning and in vivo approaches,WASHINGTON STATE UNIVERSITY,2023-06-07 12:06:00,2024-11-30 12:11:00,2028-05-31 12:05:00,2024-06-01 12:06:00,2024-11-30 12:11:00,2025-05-31 12:05:00,138932,394200,-255268
2024-08-17 04:08:08,10920609,1R43AG084468-01A1,R43,Hormone-Free Prebiotic Muco-Adhesive Gels To Treat Vaginal Atrophy in Post-Menopausal Women,MOREMME VA LLC,2024-08-15 12:08:00,2024-11-30 12:11:00,2025-07-31 12:07:00,2024-08-15 12:08:00,2024-11-30 12:11:00,2025-07-31 12:07:00,332700,399779,-67079
2024-10-04 10:10:56,10937636,1R01AG088044-01,R01,A comprehensive study of APOE and the noncoding RNA AANCR to advance Alzheimer’s Disease treatment,UNIVERSITY OF MICHIGAN AT ANN ARBOR,2024-09-30 12:09:00,2024-11-01 12:11:00,2029-06-30 12:06:00,2024-09-30 12:09:00,2024-11-01 12:11:00,2025-06-30 12:06:00,1,390000,-389999
2024-02-03 04:02:44,10767307,5R01AG075679-03,R01,Visual-somatosensory integration as a novel marker of Alzheimer's disease,ALBERT EINSTEIN COLLEGE OF MEDICINE,2022-02-15 12:02:00,2024-10-31 12:10:00,2027-01-31 12:01:00,2024-02-01 12:02:00,2024-10-31 12:10:00,2025-01-31 12:01:00,638690,839997,-201307
2023-09-02 04:09:38,10690549,5K99HD105973-02,K99,Mapping inter-cellular trophoblast-decidual signaling to its effects on invasion related maternal-fetal diseases,UNIVERSITY OF CONNECTICUT STORRS,2022-09-01 12:09:00,2024-10-17 12:10:00,2025-08-31 12:08:00,2023-09-01 12:09:00,2024-10-17 12:10:00,2025-08-31 12:08:00,99400,120150,-20750
2024-06-01 04:06:40,10784088,1U01AG084765-01,U01,"Skin immunity as a function of frailty, aging, and skin microbiome composition",JACKSON LABORATORY,2024-06-01 12:06:00,2024-10-14 12:10:00,2029-05-31 12:05:00,2024-06-01 12:06:00,2024-10-14 12:10:00,2025-05-31 12:05:00,86891,628891,-542000
2024-07-13 04:07:17,10927561,1R01AI184205-01,R01,Kidney transplant Preemptive therapy or Prophylaxis (KPoP) for CMV Preventionin D+R- Recipients,UNIVERSITY OF WASHINGTON,2024-07-12 12:07:00,2024-09-30 12:09:00,2031-05-31 12:05:00,2024-07-12 12:07:00,2024-09-30 12:09:00,2025-05-31 12:05:00,510927,1597708,-1086781
2024-09-07 04:09:48,10899691,5K08MH128712-05,K08,Synaptic dysglycosylation caused by the schizophrenia-risk variant in SLC39A8,OREGON HEALTH & SCIENCE UNIVERSITY,2023-01-31 12:01:00,2024-09-02 12:09:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2024-09-02 12:09:00,2025-08-31 12:08:00,1,189538,-189537
2023-12-02 04:12:51,10764952,5R01NS114074-05,R01,Bystander gene deletions in cancer: mechanisms of therapeutic opportunities and challenges,CINCINNATI CHILDRENS HOSP MED CTR,2019-12-01 12:12:00,2024-08-31 12:08:00,2025-11-30 12:11:00,2023-12-01 12:12:00,2024-08-31 12:08:00,2025-11-30 12:11:00,6595,419423,-412828
