date_added,appl_id,project_num,activity_code,project_title,org_name,project_start_date,new_project_end_date,old_project_end_date,budget_start,new_budget_end_date,old_budget_end_date,new_award_amount,old_award_amount,award_amount_change
2024-05-18 04:05:51,10874775,5R01EY026059-07,R01,The miR-183/96/182 Cluster in Pseudomonas aeruginosa-induced Keratitis,WAYNE STATE UNIVERSITY,2017-04-01 12:04:00,2027-04-30 12:04:00,2027-05-01 12:05:00,2024-05-02 12:05:00,2025-04-30 12:04:00,2025-05-01 12:05:00,433641,433641,0
2024-04-06 04:04:19,10811668,5R01MD017280-03,R01,"Social Media, Acculturation and E-cigarette Use among Mexican American College Students in South Texas",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,2022-07-25 12:07:00,2027-03-31 12:03:00,2027-06-30 12:06:00,2024-04-01 12:04:00,2025-03-31 12:03:00,2025-06-30 12:06:00,638692,638692,0
2024-04-06 04:04:19,10814839,5K23MD017288-03,K23,Longitudinal study of cognitive remediation to prepare for transition of care in youth with sickle cell disease,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2022-07-07 12:07:00,2027-03-31 12:03:00,2027-05-31 12:05:00,2024-04-01 12:04:00,2025-03-31 12:03:00,2025-05-31 12:05:00,114624,114624,0
2024-04-27 04:04:16,10814933,5U24MD017761-03,U24,Colorado Resource Center for Tribal Epidemiology Centers,UNIVERSITY OF COLORADO DENVER,2022-07-15 12:07:00,2027-03-31 12:03:00,2027-06-30 12:06:00,2024-04-01 12:04:00,2025-03-31 12:03:00,2025-06-30 12:06:00,2177386,2177386,0
2025-03-08 04:03:23,11195974,7K01DK132453-04,K01,Defining the mechanisms of hemoglobin switching and genotoxicities associated with its manipulation,"VERSITI WISCONSIN, INC.",2024-09-21 12:09:00,2026-11-30 12:11:00,2027-12-31 12:12:00,2025-03-05 12:03:00,2025-12-31 12:12:00,2026-12-31 12:12:00,129319,129319,0
2024-09-07 04:09:48,11087192,3U54DA058271-02S1,U54,Penn State TCORS: Tobacco Product Composition Effects on Toxicity and Addiction,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,2023-09-30 12:09:00,2025-08-31 12:08:00,2028-08-31 12:08:00,2024-09-01 12:09:00,2025-08-31 12:08:00,2025-08-31 12:08:00,93422,93422,0
2024-08-03 04:08:44,11011720,3R01DA057195-02S1,R01,Cellular and circuitry mechanisms of NRTI-induced pain pathogenesis in the context of opioids and HIV,STATE UNIVERSITY NEW YORK STONY BROOK,2022-09-15 12:09:00,2025-07-31 12:07:00,2028-07-31 12:07:00,2024-08-01 12:08:00,2025-07-31 12:07:00,2028-07-31 12:07:00,73312,73312,0
2024-08-03 04:08:44,11134474,3R01DA054094-04S1,R01,Probing the role of a hypothalamic-thalamic-striatal circuit in cue-driven behaviors,UNIVERSITY OF MICHIGAN AT ANN ARBOR,2021-09-30 12:09:00,2025-07-31 12:07:00,2026-07-31 12:07:00,2024-08-01 12:08:00,2025-07-31 12:07:00,2025-07-31 12:07:00,89796,89796,0
2024-08-17 04:08:08,11075602,3U01DA043799-09S1,U01,Identification of Genetic Variants that Contribute to Compulsive Cocaine Intakein Rats,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",2017-04-01 12:04:00,2025-06-30 12:06:00,2027-06-30 12:06:00,2024-07-01 12:07:00,2025-06-30 12:06:00,2025-06-30 12:06:00,61105,61105,0
2024-08-17 04:08:08,11086312,3R01DA045016-08S1,R01,Evaluating the Effect of E-cigarette Policies on Youth Tobacco Use,UNIVERSITY OF MISSOURI-COLUMBIA,2018-06-01 12:06:00,2025-06-30 12:06:00,2027-06-30 12:06:00,2024-08-15 12:08:00,2025-06-30 12:06:00,2025-06-30 12:06:00,78955,78955,0
2024-08-17 04:08:08,11087232,3R01DA056592-02S1,R01,Targeting gut brain-signaling to reduce cocaine seeking behaviors,WAKE FOREST UNIVERSITY HEALTH SCIENCES,2023-09-01 12:09:00,2025-06-30 12:06:00,2028-06-30 12:06:00,2024-07-01 12:07:00,2025-06-30 12:06:00,2025-06-30 12:06:00,79058,79058,0
2024-09-07 04:09:48,11090117,3U01DA055316-04S2,U01,16/24 Healthy Brain and Child Development National Consortium HEAL Diversity Supplement,"UNIV OF MARYLAND, COLLEGE PARK",2021-09-30 12:09:00,2025-06-30 12:06:00,2026-06-30 12:06:00,2024-07-01 12:07:00,2025-06-30 12:06:00,2025-06-30 12:06:00,59238,59238,0
2024-07-27 04:07:40,10987256,3U01DA055363-04S1,U01,The Transgenerational Influence of Discrimination on Mental Health,OREGON HEALTH & SCIENCE UNIVERSITY,2021-09-30 12:09:00,2025-06-30 12:06:00,2026-06-30 12:06:00,2024-07-01 12:07:00,2025-06-30 12:06:00,2025-06-30 12:06:00,121277,121277,0
2024-08-03 04:08:44,11037481,3U01DA055357-03S1,U01,An examination of recruitment and retention for clinical infant neuroimaging studies,VIRGINIA POLYTECHNIC INST AND ST UNIV,2022-07-20 12:07:00,2025-06-30 12:06:00,2026-06-30 12:06:00,2024-07-01 12:07:00,2025-06-30 12:06:00,2025-06-30 12:06:00,76475,76475,0
2024-09-14 04:09:49,11090079,3U01DA055355-04S1,U01,9/24- Healthy Brain and Child Development National Consortium,NORTHWESTERN UNIVERSITY AT CHICAGO,2021-09-30 12:09:00,2025-06-30 12:06:00,2026-06-30 12:06:00,2024-07-01 12:07:00,2025-06-30 12:06:00,2025-06-30 12:06:00,60787,60787,0
